Anweisung,die,Anweisungen,instruction
Anzeige,die,Anzeigen,advertisement/report
anziehen,–,–,to put on
Anzug,der,Anzüge,suit
Apartment,das,Apartments,apartment
Apfel,der,Äpfel,apple
Apfelsaft,der,Apfelsäfte,apple juice
Apfelsaftschorle,die,Apfelsaftschorlen,apple juice spritzer
Apfelschorle,die,Apfelschorlen,apple spritzer
Apotheke,die,Apotheken,pharmacy
App,die,Apps,app
April,der,–,April
Arabisch,–,–,Arabic
Arbeit,die,Arbeiten,work
arbeiten (1/2),–,–,to work
Arbeitsalltag,der,–,workday routine
arbeitslos,–,–,unemployed
Arbeitsplatz,der,Arbeitsplätze,workplace
Arbeitszeit,die,Arbeitszeiten,working hours
Arbeitszimmer,das,Arbeitszimmer,home office
Architekt,der,Architekten,architect (male)
Architektin,die,Architektinnen,architect (female)
Architektur,die,–,architecture
argentinisch,–,–,Argentinian
Arm,der,Arme,arm
Art,die,Arten,"kind, type"
Artikel,der,Artikel,article
Artikelbild,das,Artikelbilder,article image
Arzt,der,Ärzte,doctor (male)
Arztbesuch,der,Arztbesuche,doctor visit
Ärztin,die,Ärztinnen,doctor (female)
asiatisch,–,–,Asian
Assoziation,die,Assoziationen,association
Atelier,das,Ateliers,studio
Atmosphäre,die,–,atmosphere
Attraktion,die,Attraktionen,attraction
attraktiv,–,–,attractive
auch,–,–,also
auf (1/2/3),–,–,on / at / onto
auf jeden Fall,–,–,definitely
auf sein,–,–,to be up
auf Wiederhören,–,–,goodbye (on the phone)
auf Wiedersehen,–,–,goodbye
Aufforderung,die,Aufforderungen,"request, command"
Aufgabe,die,Aufgaben,task
aufhängen,–,–,to hang up
aufhören,–,–,to stop
aufmachen,–,–,to open
aufpassen,–,–,to pay attention
aufschreiben,–,–,to write down
aufstehen,–,–,to get up
aufstellen,–,–,to set up
Aufzug,der,Aufzüge,elevator
Auge,das,Augen,eye
August,der,–,August
aus (1/2),–,–,from / out of
Ausdruck,der,Ausdrücke,expression
ausdrücken,–,–,to express
Ausflug,der,Ausflüge,excursion
ausfüllen,–,–,to fill out
Ausgang,der,Ausgänge,exit
ausgehen,–,–,to go out
Auskunft,die,Auskünfte,information
Ausland,das,–,abroad
ausmachen,–,–,to turn off
Aussage,die,Aussagen,statement
Aussagesatz,der,Aussagesätze,declarative sentence
aussehen,–,–,to look like
außerhalb,–,–,outside of
Äußerung,die,Äußerungen,utterance
Aussprache,die,–,pronunciation
aussteigen,–,–,to get off/out (vehicle)
Ausstellung,die,Ausstellungen,exhibition
Ausweis,der,Ausweise,ID card
auswendig,–,–,by heart
ausziehen,–,–,to take off / move out
Auto,das,Autos,car
Autobahn,die,Autobahnen,highway
Automat,der,Automaten,vending machine
Baby,das,Babys,baby
Bäcker,der,Bäcker,baker (male)
Bäckerei,die,Bäckereien,bakery
Bad,das,Bäder,bathroom
Badeanzug,der,Badeanzüge,swimsuit
Badehose,die,Badehosen,swim trunks
Bademode,die,Bademoden,swimwear
baden,–,–,to bathe
Badeurlaub,der,Badeurlaube,beach holiday
Bahnhof,der,Bahnhöfe,train station
Bahnsteig,der,Bahnsteige,platform
bald,–,–,soon
Balkon,der,Balkone,balcony
Ball,der,Bälle,ball
Banane,die,Bananen,banana
