word,article,plural,translation,example sentence normal,example sentence plural
Anweisung,die,Anweisungen,instruction,Die Anweisung war klar und deutlich. (The instruction was clear and precise.), Die Anweisungen müssen genau befolgt werden. (The instructions must be followed exactly.)
Anzeige,die,Anzeigen,advertisement/report,Die Anzeige in der Zeitung hat meine Aufmerksamkeit geweckt. (The advertisement in the newspaper caught my attention.),Die Anzeigen auf dieser Website sind sehr bunt. (The advertisements on this website are very colorful.)
anziehen,–,–,to put on,"Ich ziehe meine Jacke an, weil es kalt ist. (I put on my jacket because it’s cold.)",Die Kinder ziehen sich schnell an. (The children get dressed quickly.)
Anzug,der,Anzüge,suit, Der Anzug passt perfekt. (The suit fits perfectly.),Die Anzüge sind sehr teuer. (The suits are very expensive.)
Apartment,das,Apartments,apartment,Das Apartment ist modern eingerichtet. (The apartment is furnished in a modern way.),Viele Apartments in dieser Gegend sind schon vermietet. (Many apartments in this area are already rented.)
Apfel,der,Äpfel,apple,Der Apfel schmeckt heute besonders süß. (The apple tastes especially sweet today.),Äpfel sind gesund und enthalten viele Vitamine. (Apples are healthy and contain many vitamins.)
Apfelsaft,der,Apfelsäfte,apple juice,Der Apfelsaft ist frisch gepresst. (The apple juice is freshly squeezed.),Die Apfelsäfte in diesem Restaurant sind sehr lecker. (The apple juices in this restaurant are very tasty.)
Apfelsaftschorle,die,Apfelsaftschorlen,apple juice spritzer,Die Apfelsaftschorle ist ein beliebtes Getränk. (The apple juice spritzer is a popular drink.),Die Apfelsaftschorlen sind sehr erfrischend. (The apple juice spritzers are very refreshing.)
Apfelschorle,die,Apfelschorlen,apple spritzer, Die Apfelschorle ist ein beliebtes Getränk. (The apple spritzer is a popular drink.),Die Apfelschorlen sind sehr erfrischend. (The apple spritzers are very refreshing.)
Apotheke,die,Apotheken,pharmacy,Die Apotheke ist rechts neben dem Supermarkt. (The pharmacy is to the right of the supermarket.), Die Apotheken haben oft lange Öffnungszeiten. (The pharmacies often have long opening hours.)
